00:00:00 [music]  the area of ​​forest fires a due to dry grosso in yakutia per day  my dear viewers, we are honestly talking about these terrible fires, but
00:04:54  the vaccine is a obedient woman and respects the president very much loves the goal not  could disobey got from coronavirus let's try to find out tomorrow what  Prior to this disease, Putin is flying to Kemerovo
00:05:10  aex coordinator of Navalny's Kemerovo headquarters delay before Putin's visit  what they do narrow down to Putin you can treat whatever you like everyone treats  serve this human right, but Putin flies to Kemerovo to the people after a direct
00:05:26  there is no line in order for people to be imprisoned there in Kemerovo before his arrival so that these  people did not rush out to Putin for any meeting with these meetings  will be held in a free communication mode for the sake of which, as I understand it, he is coming here
00:05:41  after the straight line which he asked how many questions did Putin put  the channel did not hesitate to ask these questions they put people in a keller  particular once again the x coordinate of the Kemerovo headquarters to your no headquarters
00:05:59  no, before the war, activist stanislav was also detained in prison  kalinichenko expect the president of russia oh brave good guy the weather stood up  because of the guys from Siberia, legal human rights defenders who in winter
00:06:15  closed the FSB in a detention center there exposes without human treatment wrote on  Facebook founder of the gulagu defensive human rights project no misfire  the information was confirmed by the telegram-channel Kuzbass without a fool ate a visit to Putin
00:06:33  people are being shoved into jail ok finally Putin signed the law on  extrajudicial blocking of a resource containing defamatory amendments  a federal law on information technology and information protection is introduced immediately
00:06:51  the victim must write a statement in the text of the document and confirm that  information published on the Internet denigrates his honor and dignity, or  undermines his reputation then the prosecutor's office will check the application
00:07:04  facts 10 days and will issue conclusions within five days, the Attorney General and his  the deputy check the validity of the decision of the regional prosecutor's office and  will transfer this to Roskomnadzor with the requirement to delete the information site
00:07:19  will have to delete it otherwise they may block the page I wonder if  this is a deliberately false denunciation, an attempt to slap the hands of journalists.  this law does not contradict another law we already have in the criminal code
00:07:36  obstacles to work journalist how easy it is to take paper to the circus nonsense and risk  where he does not understand, or the prosecutor general is busy or his deputy is wrong  check the validity and so on
00:07:50  the cross must be all added up until the governor of the kuban instructs the contract  maybe it used to be guys when like a pen to prepare for the evacuation of people from  of possible flooding sites to prepare a point for their temporary placement and
00:08:10  rainstorms ladies we somehow once sochi never stood in front of a truck  fathers and in the forty-first never that just never happened to people  Sochi hint that you are getting ready don't even hint already
00:08:30  but the mayor of sochi dig urban on the internet channel russia 24  said that by tomorrow the city will be in full order with this evacuation  in the flooded areas in the Angarsk Khosta districts, especially it
00:08:49  monstrous all the beaches in sochi are closed strong that  but the main thing is that the coastal strip of a heavily littered mountain river is carried into the sea  fallen trees, branches as well as construction debris, which, as
00:09:05  Crimea was taken to the mountains, just dumped there in a garbage dump, they did this garbage with  mountains descended back to the evacuation people another Sverdlovsk region kubish  Governor got government and oversees children from two holiday camps
00:09:22  300 people in the area of ​​the upper gardens also rained, too, are not ready for these rains  not ready here neither Blagoveshchensk not ready nor brick ready nor Yalta  now Sochi Adler District Rospotrebnadzor has assessed the damage to the economy
00:09:40  from to a view of almost 1 trillion rubles and the authorities of the Angara region are begging to show him  other regions of the Irkutsk region are asking for help in the supply of oxygen for his food  damn what is going on in hospitals places our viewers did not dissuade
00:09:59  enough oxygen for ventilators  archive the governor of the irkutsk region helped the region kobzev asked for help in the neighboring  regions where you used to be in Irkutsk gentlemen not for the first year by the way
00:10:18  the doctor named the causes of fainting after vaccination from to type andrey quotes on  with severe stress to the dacha, the human nervous system may be in  stressed man who came to be vaccinated against tap viral
00:10:33  infection can lose consciousness is it only the stress of the case of the authorities in Moscow  closed the vaccination station in the gum  as the bar of the city with sobyanin reported on his blog, small premises are no longer
00:10:50  hinder those who wish, therefore it is impossible to ensure social distance from ha  the usual point of the transferred gostinny yard on our canal state  the secret on the platform guard St. Petersburg professor alexandrovich com will tell
00:11:10  everything tomorrow is absolutely everything that happens in the hospitals of St. Petersburg in reality  interview season of a man who is not afraid to say what he sees with his  he hears with his eyes and what he hears with my ears
00:11:27  on the air, including on our air, but we still publish it all on  guard platform fortunately guard platform is not a mass media  information about just in case, but as they say, maybe we are
